0.079590,-1.080566,-0.304443,22.134146,-58.109756,0.182927
0.066162,-1.102539,-0.286133,24.268293,-57.926829,1.219512
0.065674,-1.119629,-0.256104,25.792683,-57.865854,1.585366
0.078125,-1.122803,-0.220947,27.317073,-57.012195,1.219512
0.104004,-1.114258,-0.187500,28.048780,-55.365854,0.243902
0.140625,-1.100342,-0.167725,28.170732,-53.231707,-0.914634
0.180420,-1.072754,-0.175537,28.109756,-50.914634,-2.012195
0.227295,-1.027344,-0.237549,25.914634,-48.292683,-2.621951
0.282227,-0.988770,-0.369141,19.085366,-44.695122,-2.621951
0.332520,-0.987793,-0.538574,7.378049,-39.451220,-1.646341
0.352539,-1.022705,-0.687744,-8.048780,-32.317073,-0.304878
0.349854,-1.075439,-0.796387,-26.585366,-24.878049,-0.609756
0.354492,-1.140137,-0.877197,-44.817073,-18.048780,-3.597561
0.365723,-1.191650,-0.936035,-55.609756,-9.878049,-8.353659
0.348877,-1.193604,-0.973145,-54.146341,1.646341,-13.231707
0.289307,-1.126953,-0.983643,-42.317073,15.914634,-16.158537
0.195068,-1.004639,-0.970947,-27.134146,29.146341,-15.792683
0.082520,-0.872070,-0.939941,-15.243902,38.170732,-11.097561
-0.022705,-0.786621,-0.892334,-10.426829,41.585366,-2.439024
-0.097412,-0.774414,-0.836426,-11.829268,40.182927,8.780488
-0.123779,-0.822998,-0.778076,-14.329268,36.219512,21.463415
-0.114990,-0.894287,-0.722168,-12.865854,33.292683,34.878049
-0.080322,-0.958008,-0.678223,-7.134146,33.658537,48.170732
-0.039307,-0.991211,-0.652344,1.219512,37.682927,59.939024
0.000977,-0.989746,-0.643555,10.426829,43.841463,69.085366
0.032471,-0.964355,-0.638184,19.268293,50.853659,75.670732
0.053467,-0.913818,-0.625732,27.560976,57.804878,80.304878
0.058105,-0.839844,-0.601318,34.939024,64.329268,82.987805
0.044678,-0.765137,-0.567383,39.634146,70.000000,84.085366
0.018555,-0.701660,-0.529053,41.036585,74.634146,84.085366
-0.017334,-0.644531,-0.489014,40.243902,78.841463,83.170732
-0.058105,-0.594238,-0.447021,38.536585,83.048780,81.951220
-0.098145,-0.553467,-0.405029,35.792683,86.707317,80.914634
-0.135498,-0.530029,-0.372314,31.219512,89.878049,80.243902
-0.158691,-0.535400,-0.354492,25.243902,93.414634,79.390244
-0.175781,-0.575928,-0.364990,18.597561,97.987805,77.926829
-0.191650,-0.643799,-0.402100,12.865854,102.926829,75.609756
-0.200928,-0.721436,-0.445068,10.121951,107.378049,72.621951
-0.203125,-0.786621,-0.478271,11.524390,110.914634,69.085366
-0.201172,-0.828125,-0.489746,16.646341,112.987805,65.304878
-0.201904,-0.844238,-0.480713,23.353659,113.536585,61.280488
-0.204102,-0.839111,-0.455322,29.756098,112.621951,57.134146
-0.210449,-0.821045,-0.419922,34.512195,111.036585,52.865854
-0.224121,-0.798584,-0.379395,37.134146,109.451220,48.597561
-0.241943,-0.780762,-0.338623,37.621951,107.987805,44.756098
-0.262695,-0.774170,-0.295898,36.402439,106.646341,41.585366
-0.281738,-0.781006,-0.252441,34.268293,105.121951,38.719512
-0.297363,-0.799072,-0.213135,31.951220,102.987805,35.548780
-0.311768,-0.824951,-0.179688,30.060976,100.243902,31.890244
-0.328613,-0.855469,-0.156982,29.329268,96.646341,27.682927
-0.350342,-0.886719,-0.148193,30.304878,91.890244,22.926829
-0.384521,-0.911621,-0.160400,32.987805,85.792683,17.987805
-0.429688,-0.919189,-0.207275,36.463415,78.658537,13.048780
-0.438965,-0.928467,-0.245117,38.658537,70.914634,9.085366
-0.410400,-0.946289,-0.266113,39.451220,65.914634,7.134146
-0.356445,-0.966553,-0.268799,39.451220,64.817073,7.012195
-0.284668,-0.989990,-0.260254,38.414634,66.463415,7.560976
-0.211914,-1.018799,-0.251709,35.609756,68.719512,7.987805
-0.152100,-1.049316,-0.248291,32.134146,69.817073,8.963415
-0.113770,-1.069336,-0.245605,29.756098,68.902439,10.853659
-0.100830,-1.060547,-0.243652,29.207317,66.646341,13.658537
-0.107422,-1.026123,-0.260742,28.902439,64.207317,17.073171
-0.135498,-0.982666,-0.335938,25.121951,63.414634,21.524390
-0.198975,-0.972412,-0.488037,14.024390,64.329268,28.292683
-0.259766,-1.047852,-0.665527,-4.268293,63.719512,38.658537
-0.321045,-1.169434,-0.851074,-23.231707,59.756098,51.707317
-0.348877,-1.272461,-1.026367,-35.548780,52.560976,64.573171
